movie_id,title,release_year,runtime,budget,revenue,popularity,vote_average,vote_count,original_language,director_id
63020,Семья Перес,1995,113,11000000,2832826,0.908,6.05,40,en,6495
2307,Пироманьяк: История любви,1995,94,,345972,0.8479,5.1,15,en,23757
680,Криминальное чтиво,1994,154,8000000,213928762,16.3181,8.488,29355,en,138
41478,Пантера,1995,124,,6834525,1.8597,6.2,42,en,16214
25296,推手,1991,105,400000,152322,1.5801,7.296,81,zh,1614
40156,Священник,1995,98,,4176932,3.1471,6.3,143,en,42617
11450,Телевикторина,1994,133,31000000,24822619,3.3921,7.26,950,en,4135
30304,Невеста по фотографии,1995,94,,,2.0278,6.4,24,en,994323
10452,Королева Марго,1994,138,,1318578,1.9838,7.2,401,fr,23724
12106,Быстрый и мертвый,1995,108,35000000,47000000,2.9114,6.539,1870,en,7623
161495,Соседи по комнате,1995,108,22000000,12400000,1.8809,5.7,29,en,12804
3586,Высокая мода,1994,133,15000000,11300653,1.336,5.2,222,en,9789
110,Три цвета: Красный,1994,99,,4127033,2.2724,7.9,1498,fr,1126
108,Три цвета: Синий,1993,98,,1527572,2.6833,7.6,1815,fr,1126
109,Три цвета: Белый,1994,91,,1273525,3.2443,7.4,1277,fr,1126
159185,炮打双灯,1994,111,,,0.3209,6.1,11,zh,77305
36357,Возьми ребёнка напрокат,1995,85,,,1.4924,5.576,72,en,45642
92769,Страх,1995,90,,,0.7036,4.3,6,en,133793
28033,Stuart Saves His Family,1995,95,6300000,912082,0.9609,5.2,25,en,1524
22586,Принцесса Лебедь,1994,90,20000000,9771658,2.5505,6.571,981,en,107274
14334,Тайна острова Роан-Иниш,1994,103,5700000,6160000,1.5182,6.7,92,en,102445
2636,Специалист,1994,110,45000000,170362582,6.8147,5.94,1379,en,26648
2164,Звёздные врата,1994,128,55000000,196567262,4.9264,7.011,3634,en,6046
11395,Санта-Клаус,1994,93,22000000,189833357,8.8745,6.513,2186,en,58072
278,Побег из Шоушенка,1994,142,25000000,28341469,21.1826,8.713,29327,en,4027
9905,Неглубокая могила,1994,93,2500000,19779614,0.822,7.0,1084,en,2034
87078,Suture,1993,96,,102780,1.7865,6.4,39,en,101444
12527,Клубника и шоколад,1993,108,,2087569,0.7338,7.037,81,es,72646
20306,Среди акул,1994,93,700000,382928,0.9953,6.6,328,en,57028
36614,Чего мы стоим в жизни,1994,100,,,1.0421,6.736,72,en,72629
27993,Большое путешествие,1995,91,,,1.0624,5.4,99,en,64030
31439,Жить,1994,133,,,2.8812,8.069,350,zh,607
9067,Танкистка,1995,104,25000000,4064495,4.4998,5.4,549,en,56891
9059,Байки из склепа: Демон ночи,1995,91,13000000,21089146,2.3065,6.9,531,en,15521
193,Звёздный путь 7: Поколения,1994,118,38000000,118071125,1.5909,6.51,1416,en,2380
25066,Истории квартала,1995,98,6000000,12000000,1.1995,6.26,179,en,141825
46797,Том и Вив,1994,115,,,1.651,6.1,32,en,58080
12122,Деревня проклятых,1995,98,22000000,9418365,1.6039,6.1,880,en,11770
11381,Увалень Томми,1995,98,20000000,32648673,1.7593,6.803,1012,en,13426
32636,Ваня с 42-й улицы,1994,120,,1746050,1.7005,6.517,88,en,15389
36141,Там внутри,1995,99,6500000,,0.4991,5.6,85,en,1884
95963,The Walking Dead,1995,88,,6014541,0.8455,5.793,29,en,76705
1587,Что гложет Гилберта Грейпа?,1993,118,11000000,10000000,4.4004,7.662,4139,en,5306
9271,Виртуозность,1995,106,30000000,24048000,1.6412,5.51,577,en,57090
2064,Пока ты спал,1995,103,17000000,182100000,5.8207,7.0,1917,en,12962
19855,Война,1994,126,,16,0.8429,6.6,213,en,18250
60855,Double Happiness,1994,87,,759393,2.3538,6.265,17,en,1230367
236,Свадьба Мюриэл,1994,106,3000000,15119639,1.8003,6.824,477,en,3045
48287,Весёлые няньки,1995,94,,,1.2716,5.351,97,en,83313
3049,Эйс Вентура: Розыск домашних животных,1994,86,15000000,107217396,4.8277,6.568,6133,en,4499
2759,"Приключения Присциллы, королевы пустыни",1994,102,2000000,29700000,2.865,7.3,874,en,27889
